"Term Set Name","Term Set Description","LCID","Available for Tagging","Term Description","Level 1 Term","Level 2 Term","Level 3 Term","Level 4 Term","Level 5 Term","Level 6 Term","Level 7 Term"
"General Business Taxonomy (v1.0)","General Business Taxonomy (v1.0) (http://www.wandinc.com)",,TRUE,"Accounting and Finance","Accounting and Finance",,,,,,
,,,TRUE,,"Accounting and Finance","Accounting Policies",,,,,
,,,TRUE,,"Accounting and Finance","Accounting Policies","Accounts Payable",,,,
,,,TRUE,,"Accounting and Finance","Accounting Policies","Accounts Payable","Check Payment",,,
,,,TRUE,,"Accounting and Finance","Accounting Policies","Accounts Payable","Check Payment","Electronic Check Payment",,
,,,TRUE,,"Accounting and Finance","Accounting Policies","Accounts Payable","Check Payment","Internet Check Payment",,
,,,TRUE,,"Accounting and Finance","Accounting Policies","Accounts Payable","Foreign Exchange Payments",,,
,,,TRUE,,"Accounting and Finance","Accounting Policies","Accounts Payable","Invoice Processing",,,
,,,TRUE,,"Accounting and Finance","Accounting Policies","Accounts Payable","Payment Approval",,,
,,,TRUE,,"Accounting and Finance","Accounting Policies","Accounts Payable","Stop Payments",,,
,,,TRUE,,"Accounting and Finance","Accounting Policies","Accounts Payable","Wire Transfers",,,
,,,TRUE,,"Accounting and Finance","Accounting Policies","Accounts Receivable",,,,
,,,TRUE,,"Accounting and Finance","Accounting Policies","Accounts Receivable","Account Analysis",,,
,,,TRUE,,"Accounting and Finance","Accounting Policies","Accounts Receivable","Data Verification",,,
,,,TRUE,,"Accounting and Finance","Accounting Policies","Accounts Receivable","Invoice Coding",,,
,,,TRUE,,"Accounting and Finance","Accounting Policies","Accounts Receivable","Invoice Mailing",,,
,,,TRUE,,"Accounting and Finance","Accounting Policies","Accounts Receivable","Management Reporting",,,
,,,TRUE,,"Accounting and Finance","Accounting Policies","Accounts Receivable","Payment Processing",,,
,,,TRUE,,"Accounting and Finance","Accounting Policies","Accounts Receivable","Payment Processing","Electronic Check Processing",,
,,,TRUE,,"Accounting and Finance","Accounting Policies","Accounts Receivable","Payment Processing","Internet Check Processing",,
,,,TRUE,,"Accounting and Finance","Accounting Policies","Accounts Receivable","Payment Terms",,,
,,,TRUE,,"Accounting and Finance","Accounting Policies","Accrual Policies",,,,
,,,TRUE,,"Accounting and Finance","Accounting Policies","Asset Depreciation",,,,
,,,TRUE,,"Accounting and Finance","Accounting Policies","Asset Disposal",,,,
,,,TRUE,,"Accounting and Finance","Accounting Policies","Capitalization Policy",,,,
,,,TRUE,,"Accounting and Finance","Accounting Policies","Capitalization Policy","Asset Purchases",,,
,,,TRUE,,"Accounting and Finance","Accounting Policies","Capitalization Policy","Capital Projects",,,
,,,TRUE,,"Accounting and Finance","Accounting Policies","Intangible Asset Valuation",,,,
,,,TRUE,,"Accounting and Finance","Accounting Policies","Inventory Valuation",,,,
,,,TRUE,,"Accounting and Finance","Accounting Policies","Revenue Recognition",,,,
,,,TRUE,,"Accounting and Finance","Corporate Restructuring",,,,,
,,,TRUE,,"Accounting and Finance","Corporate Restructuring","Acquisitions",,,,
,,,TRUE,,"Accounting and Finance","Corporate Restructuring","Business Valuation",,,,
,,,TRUE,,"Accounting and Finance","Corporate Restructuring","Business Valuation","Asset Valuation",,,
,,,TRUE,,"Accounting and Finance","Corporate Restructuring","Business Valuation","Discounted Cash Flow Valuation",,,
,,,TRUE,,"Accounting and Finance","Corporate Restructuring","Business Valuation","Future Maintainable Earnings Valuation",,,
,,,TRUE,,"Accounting and Finance","Corporate Restructuring","Business Valuation","Historical Earnings Valuation",,,
